COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode,Value
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2000,2000,TOE,Tonnes of oil equivalent (toe),Units,4.135054
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2001,2001,TOE,Tonnes of oil equivalent (toe),Units,4.25631
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2002,2002,TOE,Tonnes of oil equivalent (toe),Units,4.156662
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2003,2003,TOE,Tonnes of oil equivalent (toe),Units,4.142641
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2004,2004,TOE,Tonnes of oil equivalent (toe),Units,4.175624
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2005,2005,TOE,Tonnes of oil equivalent (toe),Units,4.153524
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2006,2006,TOE,Tonnes of oil equivalent (toe),Units,4.282956
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2007,2007,TOE,Tonnes of oil equivalent (toe),Units,4.072672
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2008,2008,TOE,Tonnes of oil equivalent (toe),Units,4.134471
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2009,2009,TOE,Tonnes of oil equivalent (toe),Units,3.868976
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2010,2010,TOE,Tonnes of oil equivalent (toe),Units,4.077189
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2011,2011,TOE,Tonnes of oil equivalent (toe),Units,3.863924
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2012,2012,TOE,Tonnes of oil equivalent (toe),Units,3.887017
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2013,2013,TOE,Tonnes of oil equivalent (toe),Units,3.960215
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2014,2014,TOE,Tonnes of oil equivalent (toe),Units,3.772653
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2015,2015,TOE,Tonnes of oil equivalent (toe),Units,3.776192
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2016,2016,TOE,Tonnes of oil equivalent (toe),Units,3.772317
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2017,2017,TOE,Tonnes of oil equivalent (toe),Units,3.763126
DEU,Germany,NRG_INT,"Energy intensity, TPES per capita",2018,2018,TOE,Tonnes of oil equivalent (toe),Units,3.634059
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2000,2000,PC,Percentage,Units,2.66877
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2001,2001,PC,Percentage,Units,2.779404
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2002,2002,PC,Percentage,Units,3.181633
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2003,2003,PC,Percentage,Units,4.070405
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2004,2004,PC,Percentage,Units,4.695461
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2005,2005,PC,Percentage,Units,5.476207
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2006,2006,PC,Percentage,Units,6.491337
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2007,2007,PC,Percentage,Units,7.91105
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2008,2008,PC,Percentage,Units,8.116325
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2009,2009,PC,Percentage,Units,8.653355
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2010,2010,PC,Percentage,Units,9.333115
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2011,2011,PC,Percentage,Units,10.19525
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2012,2012,PC,Percentage,Units,11.36963
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2013,2013,PC,Percentage,Units,11.47268
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2014,2014,PC,Percentage,Units,11.91894
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2015,2015,PC,Percentage,Units,12.63579
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2016,2016,PC,Percentage,Units,12.53076
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2017,2017,PC,Percentage,Units,13.3247
DEU,Germany,RE_TPES,"Renewable energy supply, % total energy supply",2018,2018,PC,Percentage,Units,13.86558
DEU,Germany,RE_NRG,"Renewable electricity, % total electricity generation",2000,2000,PC,Percentage,Units,6.198531
DEU,Germany,RE_NRG,"Renewable electricity, % total electricity generation",2001,2001,PC,Percentage,Units,6.512444
DEU,Germany,RE_NRG,"Renewable electricity, % total electricity generation",2002,2002,PC,Percentage,Units,7.6427
DEU,Germany,RE_NRG,"Renewable electricity, % total electricity generation",2003,2003,PC,Percentage,Units,7.718132
DEU,Germany,RE_NRG,"Renewable electricity, % total electricity generation",2004,2004,PC,Percentage,Units,9.464608
DEU,Germany,RE_NRG,"Renewable electricity, % total electricity generation",2005,2005,PC,Percentage,Units,10.28694
