COU,Country,VAR,Variable,YEA,Year,Unit Code,Unit,PowerCode,Value
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",1990,1990,PC,Percentage,Units,3.1115715503693
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",1995,1995,PC,Percentage,Units,3.0831346511841
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2000,2000,PC,Percentage,Units,21.251726150513
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2005,2005,PC,Percentage,Units,17.247722625732
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2010,2010,PC,Percentage,Units,45.958637237549
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2011,2011,PC,Percentage,Units,46.267139434815
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2012,2012,PC,Percentage,Units,41.003070831299
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2013,2013,PC,Percentage,Units,40.304279327393
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2014,2014,PC,Percentage,Units,47.687973022461
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2015,2015,PC,Percentage,Units,35.823104858398
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2016,2016,PC,Percentage,Units,33.083930969238
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2017,2017,PC,Percentage,Units,31.285663604736
DEU,Germany,ODA_ENV,"Environmentally related ODA, % total ODA",2018,2018,PC,Percentage,Units,36.427299499512
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",1990,1990,PC,Percentage,Units,1.5122517347336
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",1995,1995,PC,Percentage,Units,4.93723487854
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2000,2000,PC,Percentage,Units,1.8396857976914
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2005,2005,PC,Percentage,Units,12.579895019531
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2010,2010,PC,Percentage,Units,18.640956878662
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2011,2011,PC,Percentage,Units,12.805947303772
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2012,2012,PC,Percentage,Units,8.8390855789185
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2013,2013,PC,Percentage,Units,9.508807182312
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2014,2014,PC,Percentage,Units,17.152297973633
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2015,2015,PC,Percentage,Units,9.1038961410522
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2016,2016,PC,Percentage,Units,10.587718963623
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2017,2017,PC,Percentage,Units,8.0831680297852
DEU,Germany,ODA_RE,"ODA - renewable energy sector, % total allocable ODA",2018,2018,PC,Percentage,Units,16.022212982178
